id,group,paradigm,task,item,paper,optimization_type,low_level_optimizer,learning_method,code_resource,source_h3,source_h4
ambbo-0001-ma-zeyuan-et-al-toward-a,survey,Survey,Survey,"Ma, Zeyuan, et al. ""[**Toward Automated Algorithm Design: A Survey and Practical Guide to Meta-Black-Box-Optimization**](http://arxiv.org/abs/2411.00625)."" arXiv preprint arXiv:2411.00625 (2024).","Ma, Zeyuan, et al. ""[**Toward Automated Algorithm Design: A Survey and Practical Guide to Meta-Black-Box-Optimization**](http://arxiv.org/abs/2411.00625)."" arXiv preprint arXiv:2411.00625 (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0002-yang-xu-rui-wang-and-kai,survey,Survey,Survey,"Yang, Xu, Rui Wang, and Kaiwen Li. ""[**Meta-Black-Box Optimization for Evolutionary Algorithms: Review and Perspective**](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4956956)"" Available at SSRN 4956956 (2024).","Yang, Xu, Rui Wang, and Kaiwen Li. ""[**Meta-Black-Box Optimization for Evolutionary Algorithms: Review and Perspective**](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4956956)"" Available at SSRN 4956956 (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0003-he-yu-and-jing-liu-deep-,survey,Survey,Survey,"He Yu and Jing Liu. ""[**Deep Insights into Automated Optimization with Large Language Models and Evolutionary Algorithms**](https://arxiv.org/abs/2410.20848)"". arXiv preprint arXiv:2410.20848 (2024).","He Yu and Jing Liu. ""[**Deep Insights into Automated Optimization with Large Language Models and Evolutionary Algorithms**](https://arxiv.org/abs/2410.20848)"". arXiv preprint arXiv:2410.20848 (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0004-wu-x-wu-s-wu-j-et-al-evo,survey,Survey,Survey,"Wu X, Wu S, Wu J, et al. ""[**Evolutionary computation in the era of large language model: Survey and roadmap**](https://arxiv.org/abs/2401.10034)"". arXiv preprint arXiv:2401.10034 (2024).","Wu X, Wu S, Wu J, et al. ""[**Evolutionary computation in the era of large language model: Survey and roadmap**](https://arxiv.org/abs/2401.10034)"". arXiv preprint arXiv:2401.10034 (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0005-song-xingyou-et-al-posit,survey,Survey,Survey,"Song, Xingyou, et al. ""[**Position: Leverage Foundational Models for Black-Box Optimization**](https://openreview.net/forum?id=ea2MgKn3sV)"" Forty-first International Conference on Machine Learning (2024)","Song, Xingyou, et al. ""[**Position: Leverage Foundational Models for Black-Box Optimization**](https://openreview.net/forum?id=ea2MgKn3sV)"" Forty-first International Conference on Machine Learning (2024)",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0006-huang-sen-et-al-when-lar,survey,Survey,Survey,"Huang, Sen, et al. ""[**When Large Language Model Meets Optimization**](https://arxiv.org/abs/2405.10098)"" arXiv preprint arXiv:2405.10098 (2024).","Huang, Sen, et al. ""[**When Large Language Model Meets Optimization**](https://arxiv.org/abs/2405.10098)"" arXiv preprint arXiv:2405.10098 (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0007-sun-q-chen-z-xu-f-et-al-,survey,Survey,Survey,"Sun Q, Chen Z, Xu F, et al. ""[**A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond**](https://openreview.net/forum?id=lH99v8c72g)"". CoRR, (2024).","Sun Q, Chen Z, Xu F, et al. ""[**A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond**](https://openreview.net/forum?id=lH99v8c72g)"". CoRR, (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0008-huang-s-yang-k-qi-s-et-a,survey,Survey,Survey,"Huang S, Yang K, Qi S, et al. ""[**When Large Language Model Meets Optimization**](https://arxiv.org/abs/2405.10098)"". arXiv preprint arXiv:2405.10098 (2024).","Huang S, Yang K, Qi S, et al. ""[**When Large Language Model Meets Optimization**](https://arxiv.org/abs/2405.10098)"". arXiv preprint arXiv:2405.10098 (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0009-li-p-hao-j-tang-h-et-al-,survey,Survey,Survey,"Li P, Hao J, Tang H, et al. ""[**Bridging Evolutionary Algorithms and Reinforcement Learning: A Comprehensive Survey on Hybrid Algorithms**](https://ieeexplore.ieee.org/abstract/document/10637292). IEEE Transactions on Evolutionary Computation. (2024).","Li P, Hao J, Tang H, et al. ""[**Bridging Evolutionary Algorithms and Reinforcement Learning: A Comprehensive Survey on Hybrid Algorithms**](https://ieeexplore.ieee.org/abstract/document/10637292). IEEE Transactions on Evolutionary Computation. (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
ambbo-0010-song-y-wu-y-guo-y-et-al-,survey,Survey,Survey,"Song Y, Wu Y, Guo Y, et al. ""[**Reinforcement learning-assisted evolutionary algorithm: A survey and research opportunities**](https://www.sciencedirect.com/science/article/pii/S2210650224000506). Swarm and Evolutionary Computation. (2024).","Song Y, Wu Y, Guo Y, et al. ""[**Reinforcement learning-assisted evolutionary algorithm: A survey and research opportunities**](https://www.sciencedirect.com/science/article/pii/S2210650224000506). Swarm and Evolutionary Computation. (2024).",-,-,-,-,### 1.1. 📚Survey Papers,
